No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
73;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;41;Miss Glam Sei Penuh;3;500000;0;;
74;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;42;Miss Glam Mayang;3;500000;0;;
75;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;9;Miss Glam Jambi;3;500000;0;;
76;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;15;Miss Glam Muaro Bungo;3;500000;0;;
77;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;17;Miss Glam Lampung;3;500000;0;;
78;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;18;Miss Glam Bengkulu;3;500000;0;;
79;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;20;Miss Glam Palembang;3;500000;0;;
80;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;22;Miss Glam Bangka;3;500000;0;;
81;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;26;Miss Glam Lubuk Linggau;3;500000;0;;
82;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;28;Miss Glam Kedaton;3;500000;0;;
83;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;41;Miss Glam Sei Penuh;3;500000;0;;
84;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);920;HERBAL ESSENCES;42;Miss Glam Mayang;3;500000;0;;
85;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;9;Miss Glam Jambi;4;500000;0;;
86;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;17;Miss Glam Lampung;4;500000;0;;
87;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;20;Miss Glam Palembang;4;500000;0;;
88;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;22;Miss Glam Bangka;4;500000;0;;
89;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;26;Miss Glam Lubuk Linggau;4;500000;0;;
90;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;28;Miss Glam Kedaton;4;500000;0;;
91;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;41;Miss Glam Sei Penuh;4;500000;0;;
