No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
147;AZARINE;8997208072361;AZARINE Hydrasoothe Sunscreen Gel Spf 45 PA++++ 30ml;31200;39000;197;A;BEAUTY MATURE;Sunscreen;Gel;1;226;108;2025-11-23;0;0;3,83;3;9;14;36;114,51;126;216;0;108;3369600;Miss Glam Padang;21;0;0;50;0;50;;28,2;0;0
148;AZARINE;8997208071791;AZARINE Hydrasoothe Sunscreen Gel SPF 45 PA++++ 50ml;47200;59000;53;A;BEAUTY MATURE;Sunscreen;Gel;1;497;120;2025-11-23;0;0;8,42;3;19;14;3;240,73;266;456;48;288;13593600;Miss Glam Padang;21;0;0;50;0;50;;14,25;0;0
149;AZARINE;8997208073108;AZARINE Intense Luminous Barrier Moisturizer 30gr;36848;48000;2310;A;BEAUTY MATURE;Moisturizer;All Day Moisturizer;1;19;16;2025-11-23;0;0;0,32;3;3;14;3;41,03;42;72;0;57;2100336;Miss Glam Padang;21;0;0;0;0;;;50;0;0
150;AZARINE;10400311153;AZARINE Invisipore Primer Sunscreen SPF 50 PA++++ 30gr;52000;63000;6781;B;BEAUTY MATURE;Sunscreen;Lotion;0;2;4;2025-11-14;0;0;0,03;3;1;14;1;13,9;14;24;0;20;1040000;Miss Glam Padang;21;0;0;0;0;;;133,33;0;0
151;AZARINE;8997208074242;AZARINE It's So Perfect Powder Foundation 110 Butter 8gr;59999;73000;7210;B;BEAUTY MATURE;Face Make Up;Foundation;0;2;5;2025-10-28;0;0;0,03;3;1;14;3;13,9;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;166,67;0;0
152;AZARINE;8997208074259;AZARINE It's So Perfect Powder Foundation 120 Cheese 8gr;60263;73000;9270;C;BEAUTY MATURE;Face Make Up;Foundation;0;1;3;2025-11-06;0;0;0,02;3;1;14;3;13,95;14;24;0;21;1265523;Miss Glam Padang;21;0;0;0;0;;;150;0;0
153;AZARINE;8997208074266;AZARINE It's So Perfect Powder Foundation 210 Almond 8gr;60000;73000;8519;C;BEAUTY MATURE;Face Make Up;Foundation;0;1;2;2025-10-03;0;0;0,02;3;1;14;3;13,95;14;24;0;21;1260000;Miss Glam Padang;21;0;0;0;0;;;100;0;0
154;AZARINE;8997208074273;AZARINE It's So Perfect Powder Foundation 220 Ginger 8gr;60000;73000;6026;B;BEAUTY MATURE;Face Make Up;Foundation;0;3;2;2025-10-25;0;0;0,05;3;1;14;3;13,85;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;40;0;0
155;AZARINE;8997208074174;AZARINE Kids Fun In The Sun SPF 40 PA+++ 40ml;66750;89000;2590;A;BEAUTY MATURE;Sunscreen;Serum;1;16;18;2025-11-18;0;0;0,27;3;2;14;3;27,19;28;48;0;30;2002500;Miss Glam Padang;21;0;0;0;0;;;66,67;0;0
156;AZARINE;20300199123;AZARINE Mattelite Lock Lipstick – 01 Stardust;47199;59000;8681;C;BEAUTY MATURE;Lip Make Up;Lipstick;0;1;2;2025-10-04;0;0;0,02;3;1;14;1;13,95;14;24;0;22;1038378;Miss Glam Padang;21;0;0;0;0;;;100;0;0
157;AZARINE;20300199214;AZARINE Mattelite Lock Lipstick – 02 Orion;47205;59000;7926;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;1;6;2025-10-22;0;0;0,02;3;1;14;1;13,95;14;24;0;18;849690;Miss Glam Padang;21;0;0;0;0;;;300;0;0
158;AZARINE;20300199548;AZARINE Mattelite Lock Lipstick – 05 Neptune;47205;59000;9431;C;BEAUTY MATURE;Lip Make Up;Lipstick;0;1;3;2025-11-15;0;0;0,02;3;1;14;1;13,95;14;24;0;21;991305;Miss Glam Padang;21;0;0;0;0;;;150;0;0
159;AZARINE;20300199630;AZARINE Mattelite Lock Lipstick – 06 Supernova;47200;59000;5848;B*;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;5;2025-11-20;0;0;0,05;3;1;14;1;13,85;14;24;0;19;896800;Miss Glam Padang;21;0;0;0;0;;;100;0;0
160;AZARINE;20300199710;AZARINE Mattelite Lock Lipstick – 07 Cosmic;47199;59000;5824;B*;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;3;2025-11-17;0;0;0,05;3;1;14;1;13,85;14;24;3;18;849582;Miss Glam Padang;21;0;0;0;0;;;60;0;0
161;AZARINE;20300199820;AZARINE Mattelite Lock Lipstick – 08 Venus;47202;59000;5870;B*;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;5;2025-10-17;0;0;0,05;3;1;14;1;13,85;14;24;0;19;896838;Miss Glam Padang;21;0;0;0;0;;;100;0;0
