original_id,name
506,MOKO-MOKO
2361,NAISDAY
1634,NEWLAB
1398,RIVYA
2354,SAVIOSA
1121,TONE
1583,VARESSE
774,X-PERT
1828,GOUTE
113,NATUR-E
298,LUXCRIME
112,NATUR
1161,AUTUMN PURE NATURE
1830,BODY WHITE
1819,CLEO
2333,Dr G RED
2334,IM FROM
545,PIPIQIU
1673,SHANTOS ROMEO
2185,SPEAKS TO ME
1939,SYUGA
595,THE FACE COLLAGEN
132,QL
1720,SLAVINA
2303,SANDRELLA
834,MORRIS
43,BIORE
1307,BIORE MEN'S
1595,LAURIER
1129,LIESE
1747,ENZIM
431,ERHA
754,BDL
1150,DIOSYS
142,SELECTION
64,ELLIPS
133,RESIK V
1694,AXE
392,CITRA
1790,CLEAR
393,DOVE
391,FAIR & LOVELY
1659,GLOW & LOVELY
1092,LUX
1737,PEPSODENT
363,PONDS
1221,PONDS MEN
362,REXONA
2283,REXONA MEN
1581,SUNSILK
1598,TRESEMME
361,VASELINE
1220,VASELINE MEN
364,ZWITSAL
2223,SKINVU
1985,COTTON CLINIC
981,BATISTE
318,MOIST DIANE
400,MU TOUCH
1660,MODIS
1614,ASFA
1719,SKINMURCH
1375,SANIYE
489,YU CHUN
1826,CLOSEUP
137,SARIAYU
119,NR
1645,CHARM
2327,TIMEPHORIA
2287,GINZA
1848,ROMANO
357,SILKORO
1073,FAYREE
1885,DOJAKO
2049,FOREBIE
1942,GLAMAZING
1902,HAEUWON
904,HAIREN
2368,HELOISE BEAUTY
808,HEY GURL
1426,HISTOIRE NATURELLE
1778,ANESSA
1638,GLAD2GLOW
462,MARCKS
1031,AZZURA
450,EMERON
1597,FRES & NATURAL
1596,GIV
127,POISE
449,POSH
2281,POSH MEN
517,CAMILLE
2120,GINZA RUSK
2314,MOICARE
2275,MORLAB
1774,NATESH
490,EXZO
2369,ACNENO
452,ADARA
1527,BETADINE
1016,BIO HERBAL
1621,CAVE
1390,ELUMOR
1333,GLUGHAVA
1630,GMEELAN
339,GOLDEN VIERA
1049,HAPPY KEMIRIKU
2298,HYALUPURE
1759,IFREE
2362,JUVA
91,KELLY
24,KLEVERU
1579,LACTACYD
407,MUKKA
2277,NURILAB
331,NUTRISHE 
2359,OILYOUNG
2236,ORINESIA
906,POUPEEPOU
1758,Q-LIFE
1029,RATU ARAB
1876,REMIMPI
1531,STRIPER
347,THE BODY CULTURE
2149,TIR TIR
712,TRUE TO SKIN
1854,OURDAYLEE
1499,BARBARA WALDEN
2261,FAV BEAUTY
1611,OILUM
501,BRIGHTY
1609,BUTTERED
1482,CIARA
74,FSS
1917,BIODANCE
92,KOJIE SAN
394,LIP ICE
673,ABSOLUTE
1627,MAMA'S CHOICE
704,OVALE
371,SASHA
33,ACNES
301,HADALABO
303,SELSUN
302,SKIN AQUA
2187,SOULYU
1983,PINK RABBIT
114,NATURE REPUBLIC
1933,GENDES
126,PIGEON TEENS
2374,NUMBUZIN
2393,SAKA
2392,BARBER DAILY
102,MAKARIZO
903,BARENBLISS
1422,DAZZLE ME
487,GLAMFIX
1492,LAVOJOY
170,YOU
1712,HAIRNERDS
575,NOURISH
1019,YOUVIT
75,GARNIER
1228,GARNIER MEN
814,LOREAL HAIR
2349,AOERA
1745,DARLIE
2292,BAISISI
1918,BEAUTY OF ANGEL
1480,ACNAWAY
1928,AERIS
2278,AFTER MY SKIN
1757,ANUA
37,AVEENO
1152,AVERO
320,AVOSKIN
1144,AXIS-Y
2367,AZLOE
1851,BAD LAB
21,BATH & BODY WORKS
2307,BEAUPHORA
76,BEAUTETOX
1136,BEAUTY OF JOSEON
2258,BEBLISS
389,BIO BEAUTY LAB
42,BIODERMA
46,BLP
1590,BORNDIVA
308,BREYLEE
1504,BROMEN
884,BUTUH (ENERGY FRESH)
2316,BYNADS
1794,CASSTINE
51,CLEAN & CLEAR
2364,CLEANBEE
531,CLEORA BEAUTY
2266,CLEVIANT
2375,CLEYA
2302,CRUSITA
1679,D'ALBA
762,DAISY
1310,DEOREX
2396,DEOXIDE
1474,EILEEN GRACE
2379,EMPER
458,ESQA
2099,EVOKE
1034,EXXE
1488,EZ WHITE
1459,FACETOLOGY
1707,FINALLY FOUND YOU
929,FLIMEAL
1336,FOLTI BAFFI
2112,FROM THIS ISLAND
2320,GLOW DAYS
2276,GLOW FX
2255,GLOWSICHA
2360,GOGO TALES
1018,GUELE
1868,HAIRMONY
421,HARLETTE
427,HEIMISH
2262,HINT
1691,HMNS
2325,IKI ARUM
2284,ISTY
1970,JEJUBY
1875,JENNSKIN
1911,JEVARINE
1069,JIERA
1681,JONI CREAM
439,JUMISO
714,JUST MISS
1451,KALEIDO
1511,KOJIC PLANKTON
478,KUNTZE
1768,LADIS
454,LADY SPEED
336,LAE SA LUAY
574,LANBENA
1106,LASH BOSS
2178,LAUSKIN
95,LEA GLORIA
2332,LEDOLLA
2267,LENCIR
1730,LISTERINE
1376,METOO
882,MIMI WHITE
48,MINERAL BOTANICA
110,MIRAEL
1607,MISE EN SCENE
1444,MISSDAISY
1975,MOSSERU
1469,MOTHER OF PEARL
951,MS GLOW
2280,MS GLOW MEN
1128,NATURALE
507,NEOGEN
686,NOERA
2192,NOSUKU
120,NU SKIN
2105,NVMEE
121,NYU
122,O TWO O
1217,O'SWEET
289,OH MY SKIN
1414,PERFECT WHITE
434,PINKBERRY
1967,POLYNIA
2324,PRAMY
1142,PRATISTA
657,PRECIOUS SKIN
2321,PROJECT 1945
1508,PYARY
324,PYUNKANG YUL
1528,RAINEE BEAUTY
1026,REVELINE
134,REVLON
1639,RINTIK SKINCARE
1014,ROOVE
1667,SCION
1721,SCORA
1490,SHAAN HONQ SH-RD
1207,SHERIZ
315,SKIN GAME
2098,SKIN1004
2291,SKINDIVORE
1940,SOWSO
154,TEDDY CLUBS
621,TERATU BEAUTY
1891,TETO
579,THE WET BRUSH
2318,THIS IS YOUR
334,TRUEVE
1888,UNITARY
1972,VASELINE LIP
1893,VERSIDENT
26,VICTORIA'S SECRET
2288,VIOPAD
2378,VITMAKER
2041,WATERU
1048,WAX ME UP
2109,WHITE INC
1600,YOONA
1711,ZARA
143,SENKA
480,LT-PRO
2407,IN THE MOOD FOR
676,FELINZ
1976,GRACE NICOLE
1649,KYE
162,VIENNA BEAUTY
603,XL PROFESIONAL
34,ACNOL
116,NIVEA
1226,NIVEA MEN
159,ULTIMA
2573,
782,LUS AYU
1807,GARDEN OF NA'EEM
2154,PORORO
2166,SNEK KU
300,LOREAL
98,MAYBELLINE
383,SUNPLAY
2681,
1984,TSUBAKI
2380,FINO
806,CASANDRA
68,EVERWHITE
2186,LANSINOH
419,BANANA BOAT
365,SCHICK
1642,SERASOFT
24840,
1771,ORAL-B
1754,BIODEF
1515,CRYSTALLURE
1993,EARTH LOVE LIFE
63,EMINA
1516,INSTAPERFECT
1218,KAHF
1483,LABORE
2395,LIGHT+
103,MAKE OVER
563,OMG
296,PUTRI
1478,TAVI
164,WARDAH
1477,WONDERLY
1641,COOL-VITA
1743,SENSODYNE
32,ACNEMED
617,PARASOL
1599,SOFTEX
106,MARINA
41,BIO-OIL
345,EVIAN
165,WELLNESS
1767,CORINE DE FARME
360,SILCOT
1727,FOCALSKIN
2193,GENTLY
40,BIGEN
1837,TESSA
37789,
442,MUSK BY LILIAN
1760,COLGATE
2168,DONG-A OLATTE
1813,KIN
1749,PALMOLIVE
2296,FAVOUR MOLANG
679,ESKULIN
716,BEAUTICA
1779,MONTISS
1734,SKIN SANE
149,SR 12
1343,TALK ME
