No;supplier_id;brand_id;store_id;order_day;min_purchase;trading_term;promo_factor;delay_factor
222;2392;104;18;2;500000;0;;
223;2392;2412;18;2;500000;0;;
224;2392;565;18;2;500000;0;;
225;2392;1164;18;1;500000;0;;
226;2392;1164;26;1;500000;0;;
227;2392;927;18;1;500000;0;;
228;2392;145;18;4;500000;0;;
229;2392;145;26;4;500000;0;;
230;2392;1304;18;1;500000;0;;
231;2392;157;18;1;500000;0;;
232;2392;166;18;2;500000;0;;
233;2392;166;26;2;500000;0;;
234;2392;1856;18;1;500000;0;;
235;2392;398;18;1;500000;0;;
236;2547;38;20;1;500000;0;;
237;2547;423;20;2;500000;0;;
238;2547;1160;20;1;500000;0;;
239;2547;1165;20;1;500000;0;;
240;2547;778;17;1;500000;0;;
241;2547;778;20;1;500000;0;;
242;2547;70;20;1;500000;0;;
243;2547;1327;20;1;500000;0;;
244;2547;1198;20;1;500000;0;;
245;2547;1198;22;1;500000;0;;
246;2547;80;20;1;500000;0;;
247;2547;325;20;5;500000;0;;
248;2547;83;20;1;500000;0;;
249;2547;1524;20;1;500000;0;;
250;2547;1524;22;1;500000;0;;
251;2547;1265;20;1;500000;0;;
252;2547;101;20;1;500000;0;;
253;2547;101;22;1;500000;0;;
254;2547;168;20;1;500000;0;;
255;2547;1135;20;1;500000;0;;
256;2547;1135;22;1;500000;0;;
257;2547;377;20;1;500000;0;;
258;2547;1726;20;2;500000;0;;
259;2547;1726;22;2;500000;0;;
260;2547;1057;20;1;500000;0;;
261;2547;387;20;2;500000;0;;
262;2547;1164;20;1;500000;0;;
263;2547;927;20;1;500000;0;;
264;2547;1304;20;1;500000;0;;
265;2547;157;20;1;500000;0;;
266;2547;166;20;2;500000;0;;
267;2547;1856;20;1;500000;0;;
268;2547;398;20;1;500000;0;;
269;2544;1544;20;2;500000;0;;
270;2544;1455;20;2;500000;0;;
271;2544;564;20;2;500000;0;;
272;2544;104;20;2;500000;0;;
273;2544;2412;20;2;500000;0;;
274;2544;565;20;2;500000;0;;
275;2544;145;20;4;500000;0;;
276;2568;2322;20;1;500000;0;;
277;2568;65;20;1;500000;0;;
278;2568;437;20;2;500000;0;;
279;2568;437;26;2;500000;0;;
280;2568;1219;17;2;500000;0;;
281;2568;1219;20;2;500000;0;;
282;2568;1219;28;2;500000;0;;
283;2568;838;20;2;500000;0;;
284;2568;838;26;2;500000;0;;
285;2493;107;33;2;500000;0;;
286;2493;107;36;2;500000;0;;
287;2493;107;39;2;500000;0;;
288;2638;107;8;2;500000;0;;
289;2638;107;19;2;500000;0;;
290;2638;107;25;2;500000;0;;
291;2638;107;30;2;500000;0;;
292;2638;107;34;2;500000;0;;
293;2638;107;35;2;500000;0;;
294;2331;1806;17;2;500000;0;;
295;2331;1806;28;2;500000;0;;
296;2331;44;17;2;500000;0;;
297;2331;2322;17;1;500000;0;;
298;2331;2322;28;1;500000;0;;
299;2331;423;17;2;500000;0;;
300;2331;423;28;2;500000;0;;
301;2331;61;17;2;500000;0;;
302;2331;61;28;2;500000;0;;
303;2331;65;17;1;500000;0;;
304;2331;65;28;1;500000;0;;
305;2331;25;17;2;500000;0;;
306;2331;25;28;2;500000;0;;
307;2331;1680;17;4;500000;0;;
308;2331;1680;28;4;500000;0;;
309;2331;54;17;2;500000;0;;
310;2331;54;28;2;500000;0;;
311;2331;287;17;3;500000;0;;
312;2331;287;28;3;500000;0;;
313;2331;166;17;2;500000;0;;
314;2331;166;28;2;500000;0;;
315;107;35010;43;5;500000;0;;
316;107;18004;43;2;500000;0;;
317;107;1520;7;3;500000;0;;
318;107;1520;9;3;500000;0;;
319;107;1520;13;3;500000;0;;
320;107;1520;15;3;500000;0;;
321;107;1520;17;3;500000;0;;
322;107;1520;18;3;500000;0;;
323;107;1520;19;3;500000;0;;
324;107;1520;20;3;500000;0;;
325;107;1520;21;3;500000;0;;
326;107;1520;22;3;500000;0;;
327;107;1520;23;3;500000;0;;
328;107;1520;24;3;500000;0;;
329;107;1520;26;3;500000;0;;
330;107;1520;28;3;500000;0;;
331;107;1520;29;3;500000;0;;
332;107;1520;30;3;500000;0;;
333;107;1520;31;3;500000;0;;
334;107;1520;32;3;500000;0;;
335;107;1520;33;3;500000;0;;
336;107;1520;36;3;500000;0;;
337;107;1520;38;3;500000;0;;
338;107;1520;41;3;500000;0;;
339;107;1520;42;3;500000;0;;
340;107;1520;43;3;500000;0;;
341;107;358;7;2;500000;0;;
342;107;358;9;2;500000;0;;
343;107;358;13;2;500000;0;;
344;107;358;15;2;500000;0;;
345;107;358;17;2;500000;0;;
346;107;358;18;2;500000;0;;
347;107;358;20;2;500000;0;;
348;107;358;21;2;500000;0;;
349;107;358;22;2;500000;0;;
350;107;358;23;2;500000;0;;
